X,Y
29.2308,90.6602
38.9744,91.0449
47.9487,92.5833
54.1026,93.3526
63.5897,91.8141
48.2051,84.1218
47.1795,72.9679
47.9487,60.6602
46.1538,39.5064
46.1538,26.8141
44.359,14.1218
23.8462,16.8141
31.7949,15.6602
53.5897,15.2756
61.5385,15.2756
56.6667,14.891
48.7179,16.0449
37.4359,15.6602
27.6923,17.1987
33.3333,90.2756
43.5897,92.5833
51.5385,92.5833
58.4615,92.1987
47.1795,79.1218
46.9231,66.0449
45.8974,46.4295
46.4103,56.0449
45.1282,20.6602
45.3846,33.3526
48.7179,89.5064
40.5128,16.4295
45.8974,51.0449
34.6154,17.1987
