X,Y
48.7179,27.9679
63.3333,76.4295
73.3333,26.0449
35.3846,77.1987
24.6154,27.5833
37.9487,67.5833
40.7692,59.891
43.3333,52.1987
44.6154,44.891
47.4359,37.5833
50.7692,38.3526
52.5641,44.891
54.359,52.9679
55.8974,58.7372
59.2308,66.0449
61.5385,72.9679
64.8718,71.0449
65.8974,63.7372
66.9231,57.5833
68.4615,50.2756
70,41.8141
72.3077,34.1218
33.0769,71.8141
30.2564,62.9679
29.4872,53.3526
27.4359,42.9679
26.9231,36.8141
48.4615,33.3526
22.5641,22.5833
47.9487,23.7372
75.3846,21.8141
36.9231,74.5064
28.9744,58.7372
