X,Y
70.7692,89.1218
66.1538,92.5833
57.6923,97.9679
51.0256,98.7372
45.3846,96.8141
40.2564,93.3526
32.0513,83.3526
33.8462,75.6602
36.6667,66.0449
41.0256,61.8141
45.1282,60.2756
51.5385,56.8141
57.9487,51.8141
62.5641,46.0449
66.4103,39.5064
67.9487,33.3526
65.641,24.1218
61.0256,17.9679
54.359,12.9679
46.1538,11.0449
26.6667,21.8141
29.7436,17.9679
34.359,16.4295
39.4872,13.7372
50,11.8141
35.1282,89.5064
61.2821,95.6602
34.8718,71.4295
47.6923,58.7372
54.359,54.5064
42.3077,12.9679
56.9231,16.0449
66.9231,29.1218
